"pincode","city","state_code","cod","prepaid","pickup","zone"
"110000","Delhi Ncr","Delhi","Y","Y","Y","Z4"
"110001","New Delhi","Delhi","Y","Y","Y","Z4"
"110002","Delhi","Delhi","Y","Y","Y","Z4"
"110003","Delhi","Delhi","Y","Y","Y","Z4"
"110004","Delhi","Delhi","Y","Y","Y","Z4"
"110005","New Delhi","Delhi","Y","Y","Y","Z4"
"110006","Delhi","Delhi","Y","Y","Y","Z4"
"110007","Delhi","Delhi","Y","Y","Y","Z4"
"110008","New Delhi","Delhi","Y","Y","Y","Z4"
"110009","New Delhi","Delhi","Y","Y","Y","Z4"
"110010","DELHI","DELHI","Y","Y","Y","Z4"
"110011","New Delhi","Delhi","Y","Y","Y","Z4"
"110012","Delhi","Delhi","Y","Y","Y","Z4"
"110013","Delhi","Delhi","Y","Y","Y","Z4"
"110014","Delhi","Delhi","Y","Y","Y","Z4"
"110015","Delhi","Delhi","Y","Y","Y","Z4"
"110016","Delhi","Delhi","Y","Y","Y","Z4"
"110017","Delhi","Delhi","Y","Y","Y","Z4"
"110018","New Delhi","Delhi","Y","Y","Y","Z4"
"110019","Delhi","Delhi","Y","Y","Y","Z4"
"110020","New Delhi","Delhi","Y","Y","Y","Z4"
"110021","Delhi","Delhi","Y","Y","Y","Z4"
"110022","New Delhi","Delhi","Y","Y","Y","Z4"
"110023","New Delhi","Delhi","Y","Y","Y","Z4"
"110024","Delhi","Delhi","Y","Y","Y","Z4"
"110025","Delhi","Delhi","Y","Y","Y","Z4"
"110026","Delhi","Delhi","Y","Y","Y","Z4"
"110027","New Delhi","Delhi","Y","Y","Y","Z4"
"110028","Delhi","Delhi","Y","Y","Y","Z4"
"110029","Delhi","Delhi","Y","Y","Y","Z4"
"110030","Delhi","Delhi","Y","Y","Y","Z4"
"110031","Delhi","Delhi","Y","Y","Y","Z4"
"110032","Delhi","Delhi","Y","Y","Y","Z4"
"110033","Delhi","Delhi","Y","Y","Y","Z4"
"110034","New Delhi","Delhi","Y","Y","Y","Z4"
"110035","Delhi","Delhi","Y","Y","Y","Z4"
"110036","Delhi","Delhi","Y","Y","Y","Z4"
"110037","Delhi","Delhi","Y","Y","Y","Z4"
"110038","Delhi","Delhi","Y","Y","Y","Z4"
"110039","Delhi","Delhi","Y","Y","Y","Z4"
"110040","Delhi","Delhi","Y","Y","Y","Z4"
